mnemonic,primary,subop,format,operands,operand_count,immediate_bits,semantics,modes,issue_slot,latency,initiation_interval,flags,exceptions,attributes,aliases,operand_spec_confidence,encoding_spec_confidence,semantic_spec_confidence,sources,notes
POPMETA,0xB,9,STREAM_POPMETA,Rd:Rd+1|Qn,2,1,Rd = pop Qn; Rd+1 = address of the popped element (Qn.ADDR_LAST after this pop),SCALAR32|PACKED16|PACKED8|PAIRED64,B,2,1,,,stream_state|scoreboarded|register_pair_dest,,documented,documented,documented,"ADR-STREAM-009 (locked 2026-08-04): fresh opcode allocation for the POPMETA concept ADR-STREAM-008 left 'reserved, not allocated'. No prior docx bit diagram existed; this ADR is the normative definition.|ADR-STREAM-009 (amended 2026-08-04): meta operand removed, ORD_NEXT/ORD_LAST retired; POPMETA always returns address.","Amended 2026-08-04: the ORD/ADDR meta selector was removed. POPMETA now always returns the popped element's address in Rd+1, matching the also-retired Qn.ORD_NEXT/ORD_LAST register removal (Qn.ADDR_NEXT/ADDR_LAST remain)."
LOOP,0xC,0,LOOP_IMM8,#count,1,8,Repeat the next 1-4 instructions count times; terminated by the first NOP (ADR-ISA-020),SCALAR32,A,1,1,,LOOP_FORMAT,control_barrier,,documented,documented,documented,"AUR-ARCH-005 'Hardware Loop Update v1.2g' addendum, explicit bit diagram: 15:12=1100, 11:8=0000(LOOP)/0001(NOP), 7:0=count_minus_one (LOOP only). Adopted 2026-08-04 per ADR-ISA-020 (locked) / ADR-FE-006 (locked); isa/database/aurora_v1_2_isa.json updated (LOOPSET->LOOP, LOOPEND->NOP).|ADR-ISA-020",
NOP,0xC,1,LOOP_IMM8,,0,0,No effect outside an active hardware loop; terminates the loop body when one is active,SCALAR32,A,1,1,,,control_barrier,,documented,documented,documented,"AUR-ARCH-005 'Hardware Loop Update v1.2g' addendum, explicit bit diagram: 15:12=1100, 11:8=0000(LOOP)/0001(NOP), 7:0=count_minus_one (LOOP only). Adopted 2026-08-04 per ADR-ISA-020 (locked) / ADR-FE-006 (locked); isa/database/aurora_v1_2_isa.json updated (LOOPSET->LOOP, LOOPEND->NOP).|ADR-ISA-020",
LOOPR,0xC,2,LOOP_REG,Rs,1,0,"Repeat the next 1-4 instructions Rs times (unsigned, must be nonzero); terminated by the first NOP (ADR-ISA-022)",SCALAR32,A,1,1,,LOOP_FORMAT,control_barrier,,documented,documented,documented,"ADR-ISA-022 (locked 2026-08-04): register-count sibling to LOOP_IMM8, allocated at the opcode AGUCFG/STRIDE vacated. No prior docx bit diagram existed; this ADR is the normative definition.|ADR-ISA-022",
MRS,0xD,0,SYSTEM,args,2,6,MRS system operation,SCALAR32,A,1,1,,privilege_fault,privileged,,unresolved,documented,unresolved,AUR-ARCH-005 v1.2d Sec.3 combined STREAM/SYSTEM Operand Format Diagram (shared layout),operands field is a placeholder ('args'); real operand roles not itemized; semantics field restates the mnemonic name only; behavior not documented
MSR,0xD,1,SYSTEM,args,2,6,MSR system operation,SCALAR32,A,1,1,,privilege_fault,privileged,,unresolved,documented,unresolved,AUR-ARCH-005 v1.2d Sec.3 combined STREAM/SYSTEM Operand Format Diagram (shared layout),operands field is a placeholder ('args'); real operand roles not itemized; semantics field restates the mnemonic name only; behavior not documented
EI,0xD,2,SYSTEM,args,0,0,EI system operation,SCALAR32,A,1,1,,privilege_fault,privileged,,unresolved,documented,unresolved,AUR-ARCH-005 v1.2d Sec.3 combined STREAM/SYSTEM Operand Format Diagram (shared layout),operands field is a placeholder ('args'); real operand roles not itemized; semantics field restates the mnemonic name only; behavior not documented
DI,0xD,3,SYSTEM,args,0,0,DI system operation,SCALAR32,A,1,1,,privilege_fault,privileged,,unresolved,documented,unresolved,AUR-ARCH-005 v1.2d Sec.3 combined STREAM/SYSTEM Operand Format Diagram (shared layout),operands field is a placeholder ('args'); real operand roles not itemized; semantics field restates the mnemonic name only; behavior not documented
IRET,0xD,4,SYSTEM,args,0,0,IRET system operation,SCALAR32,A,1,1,,privilege_fault,privileged,,unresolved,documented,unresolved,AUR-ARCH-005 v1.2d Sec.3 combined STREAM/SYSTEM Operand Format Diagram (shared layout),operands field is a placeholder ('args'); real operand roles not itemized; semantics field restates the mnemonic name only; behavior not documented
ASCALL,0xD,5,SYSTEM,args,1,6,ASCALL system operation,SCALAR32,A,1,1,,privilege_fault,privileged,,unresolved,documented,unresolved,AUR-ARCH-005 v1.2d Sec.3 combined STREAM/SYSTEM Operand Format Diagram (shared layout),operands field is a placeholder ('args'); real operand roles not itemized; semantics field restates the mnemonic name only; behavior not documented
TIMERLOAD,0xD,6,SYSTEM,args,1,6,TIMERLOAD system operation,SCALAR32,A,1,1,,privilege_fault,privileged,,unresolved,documented,unresolved,AUR-ARCH-005 v1.2d Sec.3 combined STREAM/SYSTEM Operand Format Diagram (shared layout),operands field is a placeholder ('args'); real operand roles not itemized; semantics field restates the mnemonic name only; behavior not documented
TIMERVEC,0xD,7,SYSTEM,args,1,6,TIMERVEC system operation,SCALAR32,A,1,1,,privilege_fault,privileged,,unresolved,documented,unresolved,AUR-ARCH-005 v1.2d Sec.3 combined STREAM/SYSTEM Operand Format Diagram (shared layout),operands field is a placeholder ('args'); real operand roles not itemized; semantics field restates the mnemonic name only; behavior not documented
TIMERCTL,0xD,8,SYSTEM,args,1,6,TIMERCTL system operation,SCALAR32,A,1,1,,privilege_fault,privileged,,unresolved,documented,unresolved,AUR-ARCH-005 v1.2d Sec.3 combined STREAM/SYSTEM Operand Format Diagram (shared layout),operands field is a placeholder ('args'); real operand roles not itemized; semantics field restates the mnemonic name only; behavior not documented
RDCYCLE,0xD,9,SYSTEM,args,1,0,RDCYCLE system operation,SCALAR32,A,1,1,,,special_register_read,,unresolved,documented,unresolved,AUR-ARCH-005 v1.2d Sec.3 combined STREAM/SYSTEM Operand Format Diagram (shared layout),operands field is a placeholder ('args'); real operand roles not itemized; semantics field restates the mnemonic name only; behavior not documented
MODE,0xD,10,MODE_IMM,mode3,1,3,ARITH_MODE = mode3; later mode-sensitive operations use the selected scalar/packed/low-lane/paired mode,SCALAR32,A,1,1,,,,MODECLR = MODE #SCALAR32,documented,documented,documented,"AUR-ARCH-005 'Revision 1.2c: MODE and Two-Dimensional Streams' addendum, explicit bit diagram: 15:12=1101, 11:8=1010, 7:5=mode, 4:0=reserved(0)",
WFI,0xD,11,SYSTEM_NONE,,0,0,Retire older instructions and wait until an enabled interrupt is serviceable,SCALAR32,A,1,1,,,serializing,,documented,documented,documented,"AUR-ARCH-005 'System Architecture Update v1.2e' addendum: generic encoding diagram 15:12=1101 / 11:8=subop(B-F) / instruction-specific bits, with WFI/WFE/HALT stated to take no operand",
WFE,0xD,12,SYSTEM_NONE,,0,0,Retire older instructions and wait for an architectural event,SCALAR32,A,1,1,,,serializing,,documented,documented,documented,"AUR-ARCH-005 'System Architecture Update v1.2e' addendum: generic encoding diagram 15:12=1101 / 11:8=subop(B-F) / instruction-specific bits, with WFI/WFE/HALT stated to take no operand",
HALT,0xD,13,SYSTEM_NONE,,0,0,"Privileged halt until allowed wake, debug, or reset",SCALAR32,A,1,1,,privilege_fault,privileged|serializing,,documented,documented,documented,"AUR-ARCH-005 'System Architecture Update v1.2e' addendum: generic encoding diagram 15:12=1101 / 11:8=subop(B-F) / instruction-specific bits, with WFI/WFE/HALT stated to take no operand",
CTXSAVE,0xD,14,SYSTEM_CTX,Rbase|mask,2,8,Privileged atomic context save using the shared stream-style memory path,SCALAR32,A,4,1,,privilege_fault|alignment|access_fault,privileged|ordered_memory|serializing,,inferred,inferred,inferred,"AUR-ARCH-005 v1.2e addendum defines the 8-bit Context Mask Groups table (bits 0-7 = VOLATILE_GPR..FULL) for CTXSAVE/CTXRESTORE 'Rbase, mask' operands, but the mask table alone fully occupies the remaining byte, leaving no room for Rbase in the base word",
CTXRESTORE,0xD,15,SYSTEM_CTX,Rbase|mask,2,8,Privileged atomic context restore; PSR and PC commit last,SCALAR32,A,4,1,,privilege_fault|alignment|access_fault,privileged|ordered_memory|serializing,,inferred,inferred,inferred,"AUR-ARCH-005 v1.2e addendum defines the 8-bit Context Mask Groups table (bits 0-7 = VOLATILE_GPR..FULL) for CTXSAVE/CTXRESTORE 'Rbase, mask' operands, but the mask table alone fully occupies the remaining byte, leaving no room for Rbase in the base word",
EXT,0xE,0,EXT,extension_word,1,12,"Extension escape for long immediates, masks, addresses, and system forms",SCALAR32|PACKED16|PACKED8|LOW16|LOW8|PAIRED64,A,1,1,,,prefix,,inferred,inferred,inferred,AUR-ARCH-005 Sec.6 Encoding Rules: '0xE extension words belong to the preceding base instruction and cannot be branch targets.' No merge-rule bit diagram is published for how EXT payload combines with each base format.,
CUSTOM,0xF,0,CUSTOM,implementation_defined,1,12,Reserved implementation/profile extension,SCALAR32,A,1,1,,illegal_instruction,reserved,,inferred,inferred,inferred,AUR-ARCH-005 Sec.6 Encoding Rules: '0xF is reserved for implementation-defined/custom expansion and must trap when unsupported.',
